"year","areaTotal_ha","areaZone_ha","zone"
1999,78163.1545546,77757.1074189,"G6"
1999,397.941493998,397.94149399774,"G5"
1999,7728.03196133,7226.41024872,"G8"
1999,843.436135018,843.436135017,"G6"
1999,17936.6732085,17936.6732084281,"G6"
2000,90.2080017068,90.2080017067,"G5"
2000,16.9260001061,16.9260001061,"G10"
2000,100.874965073,100.8749650737,"G4"
2000,52.3487643288,52.3487643285,"G5"
2000,1186.54581594,1186.545815936,"G5"
2000,30.1893424407,30.1893424407,"G4"
2000,24.8516276889,24.8516276889,"G6"
2000,56.2865532636,56.2865532634,"G8"
2000,243.588943523,243.588943522931,"G6"
2000,6921.16806592,4725.10889515561,"G5"
2001,18850.0223814,18339.4576718923,"G4"
2001,30.108945014,30.108945014,"G4"
2001,6127.25037761,6078.92088251,"G8"
2001,81.4734566153,43.54577246291,"G5"
2001,916.298447308,916.2984473073,"G4"
2001,16.7056586186,16.7056586184,"G8"
2001,253.746515847,253.746515847,"G8"
2001,52.9214642173,52.9214642173,"G5"
2001,4121.65648889,4121.65648888835,"G3"
2001,63.611706081,63.6117060809,"G8"
2001,335.254660005,335.2546600051,"G4"
2002,71.3610167978,71.36101679765,"G5"
2002,26.0311159716,26.0311159716,"G8"
2002,669.574240457,669.57424045638,"G5"
2002,54323.5699223,30802.6927855514,"G3"
2002,544.382948608,544.382948608,"G5"
2002,207.099571241,207.099571241,"G5"
2002,2584.56661528,2019.58083821,"G3"
2002,14853.1106594,14564.9774957251,"G3"
2002,185.103488774,185.10348877504,"G4"
2002,1493.93457319,1493.93457319,"G8"
2002,76282.0122556,76282.0122555604,"G5"
2002,171.5283237,171.47697069324,"G3"
2002,170.67088257,170.67088257,"G7"
2002,739.286495602,727.321807221,"G7"
2002,3210.94015537,3210.940155367,"G4"
2002,12173.8224134,8050.48192338,"G3"
2002,313.729322239,313.72932223961,"G4"
2002,25639.1464498,25639.146449878,"G5"
2002,5663.16564272,5663.1656427274,"G5"
2002,2001.14262836,2001.1426283615,"G8"
2002,292.257938597,292.2579385973,"G1"
2002,703.679346648,703.679346647,"G4"
2002,2107.9278147,2107.92781309569,"G5"
2002,19.9653517624,19.9653517624,"G8"
2002,3414.40477666,3414.404776666,"G5"
2002,1778.43780215,1778.43780215,"G5"
2002,22541.8054371,22541.805435551,"G5"
2002,4650.73136381,4650.73136381,"G5"
